Country,Revenue,Share
USA,2252308.06,0.16569944739295947
France,1514544.58,0.11142312386787885
Germany,1511659.82,0.11121089573339296
Brazil,1413748.89,0.10400771279280945
UK,1209016.23,0.08894579065712671
Spain,898533.29,0.06610395454393472
Mexico,730267.04,0.05372481994194534
Venezuela,643213.21,0.04732038007840347
Italy,473289.95,0.034819341352284386
Canada,396231.05,0.02915021581236631
Portugal,342429.49,0.025192103279181505
Switzerland,331923.75,0.02441920931171326
Argentina,322199.84,0.023703833585757342
Belgium,298225.64,0.021940082098010905
Finland,270547.46,0.01990383349938765
Austria,260721.17,0.019180925806679325
Denmark,174419.86,0.012831847885123385
Norway,149323.4,0.010985533152528808
Sweden,143876.65,0.010584822663090875
Ireland,138812.28,0.010212243385283964
Poland,117439.61,0.00863988316014137
